Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
7,95171,8,Patrick,Haughey,877,0,0,Excluded,4,Independent
7,95172,8,Sophia,McFeely,179,0,0,Excluded,3,People Before Profit Alliance
7,11291,8,Patsy,McGlone,5144,316.2,6956,,,Social Democratic and Labour Party
7,85586,8,Glenn,Moore,3818,1233,5127,,,Traditional Unionist Voice
7,11276,8,Michelle,O'Neill,10845,0,8615,Elected,1,Sinn Fein
7,72336,8,Conor,Rafferty,13,0,0,Excluded,3,The Resume Party (NI)
7,7088,8,Hugh,Scullion,107,0,0,Excluded,3,Workers Party
7,84504,8,Emma,Sheerin,8215,0,8615,Elected,2,Sinn Fein
7,10203,8,Stefan,Taylor,137,0,0,Excluded,3,Green Party
7,11273,9,Keith,Buchanan,8521,0,8615,Elected,6,Democratic Unionist Party
7,11274,9,Linda,Dillon,8199,0,8615,Elected,2,Sinn Fein
7,49835,9,Meta,Graham,2191,0,0,Excluded,7,Ulster Unionist Party
7,84457,9,Claire,Hackett,2138,-3181,0,Excluded,8,Alliance Party
7,85042,9,Alixandra,Halliday,1305,0,0,Excluded,5,Aontu
7,95171,9,Patrick,Haughey,877,0,0,Excluded,4,Independent
7,95172,9,Sophia,McFeely,179,0,0,Excluded,3,People Before Profit Alliance
7,11291,9,Patsy,McGlone,5144,1855,8811,Elected,9,Social Democratic and Labour Party
7,85586,9,Glenn,Moore,3818,238,5365,Excluded,9,Traditional Unionist Voice
7,11276,9,Michelle,O'Neill,10845,0,8615,Elected,1,Sinn Fein
7,72336,9,Conor,Rafferty,13,0,0,Excluded,3,The Resume Party (NI)
7,7088,9,Hugh,Scullion,107,0,0,Excluded,3,Workers Party
7,84504,9,Emma,Sheerin,8215,0,8615,Elected,2,Sinn Fein
7,10203,9,Stefan,Taylor,137,0,0,Excluded,3,Green Party
