Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
11,8154,8,Alan,Chambers,3825,617.5,6351.7,,,Ulster Unionist Party
11,69368,8,Stephen,Dunne,6226,-35.3,6958,Elected,7,Democratic Unionist Party
11,7178,8,Alex,Easton,9568,0,6958,Elected,1,Independent
11,49889,8,Connie,Egan,5224,24.3,6429.3,,,Alliance Party
11,69189,8,Jennifer,Gilmour,2068,1031.8,3451.2,Excluded,8,Democratic Unionist Party
11,84463,8,John,Gordon,1574,-2098.2,0,Excluded,7,Traditional Unionist Voice
11,84462,8,Naomi,McBurney,1342,0,0,Excluded,6,Ulster Unionist Party
11,7235,8,Thérèse,McCartney,687,0,0,Excluded,3,Sinn Fein
11,68690,8,Ray,McKimm,604,0,0,Excluded,4,Independent
11,4588,8,Andrew,Muir,6838,0,6958,Elected,3,Alliance Party
11,19723,8,Matthew,Robinson,254,0,0,Excluded,2,Conservative and Unionist Party
11,84461,8,Déirdre,Vaughan,727,0,0,Excluded,5,Social Democratic and Labour Party
11,50551,8,Rachel,Woods,2734,66.2,3802.3,,,Green Party
11,19748,9,Chris,Carter,72,0,0,Excluded,2,Independent
11,8154,9,Alan,Chambers,3825,1419,7770.7,Elected,9,Ulster Unionist Party
11,69368,9,Stephen,Dunne,6226,0,6958,Elected,7,Democratic Unionist Party
11,7178,9,Alex,Easton,9568,0,6958,Elected,1,Independent
11,49889,9,Connie,Egan,5224,129.1,6558.4,Elected,9,Alliance Party
11,69189,9,Jennifer,Gilmour,2068,-3451.2,0,Excluded,8,Democratic Unionist Party
11,84463,9,John,Gordon,1574,0,0,Excluded,7,Traditional Unionist Voice
11,84462,9,Naomi,McBurney,1342,0,0,Excluded,6,Ulster Unionist Party
11,7235,9,Thérèse,McCartney,687,0,0,Excluded,3,Sinn Fein
11,68690,9,Ray,McKimm,604,0,0,Excluded,4,Independent
11,4588,9,Andrew,Muir,6838,0,6958,Elected,3,Alliance Party
11,19723,9,Matthew,Robinson,254,0,0,Excluded,2,Conservative and Unionist Party
11,84461,9,Déirdre,Vaughan,727,0,0,Excluded,5,Social Democratic and Labour Party
11,50551,9,Rachel,Woods,2734,255.4,4057.7,Excluded,9,Green Party
