Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
5,7209,11,Gary,Middleton,4101,19.2,4674.9,,,Democratic Unionist Party
5,84452,11,Elizabeth,Neely,499,0,0,Excluded,4,Traditional Unionist Voice
5,49734,11,Brian,Tierney,3273,-3987.1,0,Excluded,10,Social Democratic and Labour Party
5,84453,12,Pádraig,Delargy,9471,0,7811,Elected,1,Sinn Fein
5,49867,12,Emmet,Doyle,2000,0,0,Excluded,8,Aontu
5,19640,12,Mark H.,Durkan,7999,0,7811,Elected,1,Social Democratic and Labour Party
5,84454,12,Ciara,Ferguson,5913,0,7811,Elected,9,Sinn Fein
5,50319,12,Rachael,Ferguson,2220,0,0,Excluded,7,Alliance Party
5,95164,12,Gillian,Hamilton,215,0,0,Excluded,2,Green Party
5,35060,12,Shaun,Harkin,2621,-4264.2,0,Excluded,11,People Before Profit Alliance
5,11862,12,Anne,McCloskey,854,0,0,Excluded,6,Independent
5,69196,12,Ryan,McCready,3744,189.4,4515.3,,,Ulster Unionist Party
5,84772,12,Colly,McLaughlin,766,0,0,Excluded,5,Irish Republican Socialist Party
5,49549,12,Sinéad,McLaughlin,2189,1115,8605.4,Elected,12,Social Democratic and Labour Party
5,7209,12,Gary,Middleton,4101,37.8,4712.7,,,Democratic Unionist Party
5,84452,12,Elizabeth,Neely,499,0,0,Excluded,4,Traditional Unionist Voice
5,49734,12,Brian,Tierney,3273,0,0,Excluded,10,Social Democratic and Labour Party
5,84453,13,Pádraig,Delargy,9471,0,7811,Elected,1,Sinn Fein
5,49867,13,Emmet,Doyle,2000,0,0,Excluded,8,Aontu
5,19640,13,Mark H.,Durkan,7999,0,7811,Elected,1,Social Democratic and Labour Party
5,84454,13,Ciara,Ferguson,5913,0,7811,Elected,9,Sinn Fein
5,50319,13,Rachael,Ferguson,2220,0,0,Excluded,7,Alliance Party
5,95164,13,Gillian,Hamilton,215,0,0,Excluded,2,Green Party
5,35060,13,Shaun,Harkin,2621,0,0,Excluded,11,People Before Profit Alliance
5,11862,13,Anne,McCloskey,854,0,0,Excluded,6,Independent
5,69196,13,Ryan,McCready,3744,120,4635.3,Excluded,13,Ulster Unionist Party
5,84772,13,Colly,McLaughlin,766,0,0,Excluded,5,Irish Republican Socialist Party
5,49549,13,Sinéad,McLaughlin,2189,-794.4,7811,Elected,12,Social Democratic and Labour Party
5,7209,13,Gary,Middleton,4101,18,4730.7,Elected,13,Democratic Unionist Party
5,84452,13,Elizabeth,Neely,499,0,0,Excluded,4,Traditional Unionist Voice
5,49734,13,Brian,Tierney,3273,0,0,Excluded,10,Social Democratic and Labour Party
